"dma1_name","sales1_name","chan3_name","chan2_name","chan1_name","all_name","decomp","spend","max","cps","hl","hrf","wks","beta"
"TRI-STATE-NY/NJ/CT","New Loyal KC","Network TV","Network TV","Network TV","overall",2668.939868,200653.7004,21420388.44,0.027037825,5,0.75,1,2671.93476364876
"TRI-STATE-NY/NJ/CT","New Loyal NKC","Network TV","Network TV","Network TV","overall",3543.723674,200653.7004,21420388.44,0.027037825,5,0.15,1,5502.92419024713
"TRI-STATE-NY/NJ/CT","New Non-Loyal KC","Network TV","Network TV","Network TV","overall",25455.28987,200653.7004,21420388.44,0.027037825,5,0.15,1,39528.6267445512
"TRI-STATE-NY/NJ/CT","New Non-Loyal NKC","Network TV","Network TV","Network TV","overall",58015.20995,200653.7004,21420388.44,0.027037825,0.6,0.05,1,281973.19626574
"TRI-STATE-NY/NJ/CT","Existing Non-Loyal NKC","Network TV","Network TV","Network TV","overall",131210.2899,200653.7004,21420388.44,0.027037825,1,0.75,1,131755.312434079
"TRI-STATE-NY/NJ/CT","Existing Loyal NKC","Network TV","Network TV","Network TV","overall",220872.7357,200653.7004,21420388.44,0.027037825,0.6,0.75,1,222126.065231735
"TRI-STATE-NY/NJ/CT","Existing Non-Loyal KC","Network TV","Network TV","Network TV","overall",601124.6488,200653.7004,21420388.44,0.027037825,1,0.75,1,603621.606009958
"TRI-STATE-NY/NJ/CT","Existing Loyal KC","Network TV","Network TV","Network TV","overall",702540.0378,200653.7004,21420388.44,0.027037825,0.6,0.6,1,723666.41694959
"LOS ANGELES-CA","New Loyal KC","Network TV","Network TV","Network TV","overall",3389.229489,169003.0602,18041587.03,0.027037825,5,0.75,1,3393.03264275181
"LOS ANGELES-CA","New Loyal NKC","Network TV","Network TV","Network TV","overall",5752.187771,169003.0602,18041587.03,0.027037825,5,0.15,1,8932.37062247653
"LOS ANGELES-CA","New Non-Loyal KC","Network TV","Network TV","Network TV","overall",18449.07279,169003.0602,18041587.03,0.027037825,5,0.15,1,28648.9180051016
"LOS ANGELES-CA","Existing Non-Loyal NKC","Network TV","Network TV","Network TV","overall",36943.38158,169003.0602,18041587.03,0.027037825,1,0.75,1,37096.8373455919
"LOS ANGELES-CA","New Non-Loyal NKC","Network TV","Network TV","Network TV","overall",42921.91888,169003.0602,18041587.03,0.027037825,0.6,0.05,1,208614.786909282
"LOS ANGELES-CA","Existing Non-Loyal KC","Network TV","Network TV","Network TV","overall",133546.8482,169003.0602,18041587.03,0.027037825,1,0.75,1,134101.576353094
"LOS ANGELES-CA","Existing Loyal NKC","Network TV","Network TV","Network TV","overall",176728.8115,169003.0602,18041587.03,0.027037825,0.6,0.75,1,177731.648895669
"LOS ANGELES-CA","Existing Loyal KC","Network TV","Network TV","Network TV","overall",772916.0887,169003.0602,18041587.03,0.027037825,0.6,0.6,1,796158.775929977
"CHICAGO-IL","New Loyal KC","Network TV","Network TV","Network TV","overall",1401.861521,92722.99144,9898459.342,0.027037825,5,0.75,1,1403.43459090439
"CHICAGO-IL","New Loyal NKC","Network TV","Network TV","Network TV","overall",2221.442548,92722.99144,9898459.342,0.027037825,5,0.15,1,3449.60021253284
"CHICAGO-IL","New Non-Loyal KC","Network TV","Network TV","Network TV","overall",13636.10757,92722.99144,9898459.342,0.027037825,5,0.15,1,21175.0331395889
"CHICAGO-IL","New Non-Loyal NKC","Network TV","Network TV","Network TV","overall",38932.33219,92722.99144,9898459.342,0.027037825,0.6,0.05,1,189224.070055036
"CHICAGO-IL","Existing Non-Loyal NKC","Network TV","Network TV","Network TV","overall",134567.8197,92722.99144,9898459.342,0.027037825,1,0.75,1,135126.78877462
"CHICAGO-IL","Existing Loyal NKC","Network TV","Network TV","Network TV","overall",182401.137,92722.99144,9898459.342,0.027037825,0.6,0.75,1,183436.161678836
"CHICAGO-IL","Existing Non-Loyal KC","Network TV","Network TV","Network TV","overall",380947.1397,92722.99144,9898459.342,0.027037825,1,0.75,1,382529.521510391
"CHICAGO-IL","Existing Loyal KC","Network TV","Network TV","Network TV","overall",498048.3357,92722.99144,9898459.342,0.027037825,0.6,0.6,1,513025.358262506
"PHILADELPHIA-PA","New Loyal KC","Network TV","Network TV","Network TV","overall",1057.153673,77125.13875,8233341.464,0.027037825,5,0.75,1,1058.33993612341
"PHILADELPHIA-PA","New Loyal NKC","Network TV","Network TV","Network TV","overall",1767.406075,77125.13875,8233341.464,0.027037825,5,0.15,1,2744.54289943778
"PHILADELPHIA-PA","New Non-Loyal KC","Network TV","Network TV","Network TV","overall",10477.12735,77125.13875,8233341.464,0.027037825,5,0.15,1,16269.5635607951
"PHILADELPHIA-PA","New Non-Loyal NKC","Network TV","Network TV","Network TV","overall",29182.38858,77125.13875,8233341.464,0.027037825,0.6,0.05,1,141836.104593417
"PHILADELPHIA-PA","Existing Non-Loyal NKC","Network TV","Network TV","Network TV","overall",94266.68997,77125.13875,8233341.464,0.027037825,1,0.75,1,94658.2558328688
"PHILADELPHIA-PA","Existing Loyal NKC","Network TV","Network TV","Network TV","overall",196002.1474,77125.13875,8233341.464,0.027037825,0.6,0.75,1,197114.350223432
"PHILADELPHIA-PA","Existing Non-Loyal KC","Network TV","Network TV","Network TV","overall",298036.7242,77125.13875,8233341.464,0.027037825,1,0.75,1,299274.711946415
"PHILADELPHIA-PA","Existing Loyal KC","Network TV","Network TV","Network TV","overall",375467.1484,77125.13875,8233341.464,0.027037825,0.6,0.6,1,386757.980128911
"TRI-STATE-NY/NJ/CT","New Loyal KC","Tab","Weekend","Weekend","overall",254.6489447,74930.89667,5018552.58,0.036151926,0.3,0.05,1,1234.77030233431
"TRI-STATE-NY/NJ/CT","New Loyal NKC","Tab","Weekend","Weekend","overall",826.6389662,74930.89667,5018552.58,0.036151926,1,0.05,1,3082.88466079504
"TRI-STATE-NY/NJ/CT","Existing Non-Loyal NKC","Tab","Weekend","Weekend","overall",8197.196943,74930.89667,5018552.58,0.036151926,0.3,0.05,1,39747.4859341208
"TRI-STATE-NY/NJ/CT","New Non-Loyal KC","Tab","Weekend","Weekend","overall",10976.22099,74930.89667,5018552.58,0.036151926,0,0.75,1,11012.1428300854
"TRI-STATE-NY/NJ/CT","New Non-Loyal NKC","Tab","Weekend","Weekend","overall",13003.9959,74930.89667,5018552.58,0.036151926,0,0.3,1,16871.2273965333
"TRI-STATE-NY/NJ/CT","Existing Loyal NKC","Tab","Weekend","Weekend","overall",21077.83524,74930.89667,5018552.58,0.036151926,0,0.05,1,110408.748113711
"TRI-STATE-NY/NJ/CT","Existing Non-Loyal KC","Tab","Weekend","Weekend","overall",148371.5589,74930.89667,5018552.58,0.036151926,0,0.05,1,777191.674918353
"TRI-STATE-NY/NJ/CT","Existing Loyal KC","Tab","Weekend","Weekend","overall",890942.4645,74930.89667,5018552.58,0.036151926,0,0.05,1,4666885.42854314
"SAN FRANCISCO-CA","New Loyal KC","Network TV","Network TV","Network TV","overall",1101.463336,67790.97969,7236891.797,0.027037825,5,0.75,1,1102.69932029501
"SAN FRANCISCO-CA","New Loyal NKC","Network TV","Network TV","Network TV","overall",2297.14688,67790.97969,7236891.797,0.027037825,5,0.15,1,3567.15881404974
"SAN FRANCISCO-CA","New Non-Loyal KC","Network TV","Network TV","Network TV","overall",6676.865949,67790.97969,7236891.797,0.027037825,5,0.15,1,10368.2709310272
"SAN FRANCISCO-CA","New Non-Loyal NKC","Network TV","Network TV","Network TV","overall",18891.10837,67790.97969,7236891.797,0.027037825,0.6,0.05,1,91817.0634075618
"SAN FRANCISCO-CA","Existing Non-Loyal NKC","Network TV","Network TV","Network TV","overall",19632.69659,67790.97969,7236891.797,0.027037825,1,0.75,1,19714.2470696323
"SAN FRANCISCO-CA","Existing Non-Loyal KC","Network TV","Network TV","Network TV","overall",46995.04973,67790.97969,7236891.797,0.027037825,1,0.75,1,47190.2582092966
"SAN FRANCISCO-CA","Existing Loyal NKC","Network TV","Network TV","Network TV","overall",70327.36478,67790.97969,7236891.797,0.027037825,0.6,0.75,1,70726.4333346428
"SAN FRANCISCO-CA","Existing Loyal KC","Network TV","Network TV","Network TV","overall",231978.2334,67790.97969,7236891.797,0.027037825,0.6,0.6,1,238954.149160355
"DALLAS-TX","New Loyal KC","Network TV","Network TV","Network TV","overall",1348.450553,67587.14535,7215131.865,0.027037825,5,0.75,1,1349.96368889009
"DALLAS-TX","New Loyal NKC","Network TV","Network TV","Network TV","overall",2552.460045,67587.14535,7215131.865,0.027037825,5,0.15,1,3963.62567227838
